"run","Model","ic_series","dummies","ecdet","lag_rule","K","cv_valid","test","hypothesis","statistic","cv_10pct","cv_5pct","cv_1pct","reject_5pct"
"A_common_censusIC","LTL","Total_Inventories","za_series","trend","SBC",2,FALSE,"trace","r = 0",41.4156437933951,22.76,25.32,30.45,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_series","trend","SBC",2,FALSE,"trace","r <= 1",20.1250999671932,10.49,12.25,16.26,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_series","trend","SBC",2,FALSE,"eigen","r = 0",21.2905438262019,16.85,18.96,23.65,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_series","trend","SBC",2,FALSE,"eigen","r <= 1",20.1250999671932,10.49,12.25,16.26,TRUE
"A_common_censusIC","Truckload","Total_Inventories","none","none","AIC",9,TRUE,"trace","r = 0",6.61723522225776,15.66,17.95,23.52,FALSE
"A_common_censusIC","Truckload","Total_Inventories","none","none","AIC",9,TRUE,"trace","r <= 1",0.0229020460672578,6.5,8.18,11.65,FALSE
"A_common_censusIC","Truckload","Total_Inventories","none","none","AIC",9,TRUE,"eigen","r = 0",6.5943331761905,12.91,14.9,19.19,FALSE
"A_common_censusIC","Truckload","Total_Inventories","none","none","AIC",9,TRUE,"eigen","r <= 1",0.0229020460672578,6.5,8.18,11.65,FALSE
"A_common_censusIC","Truckload","Total_Inventories","none","none","SBC",2,TRUE,"trace","r = 0",12.5338112911696,15.66,17.95,23.52,FALSE
"A_common_censusIC","Truckload","Total_Inventories","none","none","SBC",2,TRUE,"trace","r <= 1",0.286603579062899,6.5,8.18,11.65,FALSE
"A_common_censusIC","Truckload","Total_Inventories","none","none","SBC",2,TRUE,"eigen","r = 0",12.2472077121067,12.91,14.9,19.19,FALSE
"A_common_censusIC","Truckload","Total_Inventories","none","none","SBC",2,TRUE,"eigen","r <= 1",0.286603579062899,6.5,8.18,11.65,FALSE
"A_common_censusIC","Truckload","Total_Inventories","none","const","AIC",9,TRUE,"trace","r = 0",13.34962831466,17.85,19.96,24.6,FALSE
"A_common_censusIC","Truckload","Total_Inventories","none","const","AIC",9,TRUE,"trace","r <= 1",5.40837116441243,7.52,9.24,12.97,FALSE
"A_common_censusIC","Truckload","Total_Inventories","none","const","AIC",9,TRUE,"eigen","r = 0",7.94125715024758,13.75,15.67,20.2,FALSE
"A_common_censusIC","Truckload","Total_Inventories","none","const","AIC",9,TRUE,"eigen","r <= 1",5.40837116441243,7.52,9.24,12.97,FALSE
"A_common_censusIC","Truckload","Total_Inventories","none","const","SBC",2,TRUE,"trace","r = 0",28.5644176850112,17.85,19.96,24.6,TRUE
"A_common_censusIC","Truckload","Total_Inventories","none","const","SBC",2,TRUE,"trace","r <= 1",2.7199992077801,7.52,9.24,12.97,FALSE
"A_common_censusIC","Truckload","Total_Inventories","none","const","SBC",2,TRUE,"eigen","r = 0",25.8444184772311,13.75,15.67,20.2,TRUE
"A_common_censusIC","Truckload","Total_Inventories","none","const","SBC",2,TRUE,"eigen","r <= 1",2.71999920778016,7.52,9.24,12.97,FALSE
"A_common_censusIC","Truckload","Total_Inventories","none","trend","AIC",9,TRUE,"trace","r = 0",17.4814470997507,22.76,25.32,30.45,FALSE
"A_common_censusIC","Truckload","Total_Inventories","none","trend","AIC",9,TRUE,"trace","r <= 1",6.35734491156234,10.49,12.25,16.26,FALSE
"A_common_censusIC","Truckload","Total_Inventories","none","trend","AIC",9,TRUE,"eigen","r = 0",11.1241021881883,16.85,18.96,23.65,FALSE
"A_common_censusIC","Truckload","Total_Inventories","none","trend","AIC",9,TRUE,"eigen","r <= 1",6.35734491156234,10.49,12.25,16.26,FALSE
"A_common_censusIC","Truckload","Total_Inventories","none","trend","SBC",2,TRUE,"trace","r = 0",24.9082725896841,22.76,25.32,30.45,FALSE
"A_common_censusIC","Truckload","Total_Inventories","none","trend","SBC",2,TRUE,"trace","r <= 1",11.9327831477719,10.49,12.25,16.26,FALSE
"A_common_censusIC","Truckload","Total_Inventories","none","trend","SBC",2,TRUE,"eigen","r = 0",12.9754894419122,16.85,18.96,23.65,FALSE
"A_common_censusIC","Truckload","Total_Inventories","none","trend","SBC",2,TRUE,"eigen","r <= 1",11.9327831477719,10.49,12.25,16.26,FALSE
"A_common_censusIC","Truckload","Total_Inventories","orig","none","AIC",6,FALSE,"trace","r = 0",21.8602637996651,15.66,17.95,23.52,TRUE
"A_common_censusIC","Truckload","Total_Inventories","orig","none","AIC",6,FALSE,"trace","r <= 1",2.76179844135087,6.5,8.18,11.65,FALSE
"A_common_censusIC","Truckload","Total_Inventories","orig","none","AIC",6,FALSE,"eigen","r = 0",19.0984653583142,12.91,14.9,19.19,TRUE
"A_common_censusIC","Truckload","Total_Inventories","orig","none","AIC",6,FALSE,"eigen","r <= 1",2.76179844135087,6.5,8.18,11.65,FALSE
"A_common_censusIC","Truckload","Total_Inventories","orig","none","SBC",2,FALSE,"trace","r = 0",31.5370523760349,15.66,17.95,23.52,TRUE
"A_common_censusIC","Truckload","Total_Inventories","orig","none","SBC",2,FALSE,"trace","r <= 1",4.92446018055486,6.5,8.18,11.65,FALSE
"A_common_censusIC","Truckload","Total_Inventories","orig","none","SBC",2,FALSE,"eigen","r = 0",26.6125921954801,12.91,14.9,19.19,TRUE
"A_common_censusIC","Truckload","Total_Inventories","orig","none","SBC",2,FALSE,"eigen","r <= 1",4.92446018055486,6.5,8.18,11.65,FALSE
"A_common_censusIC","Truckload","Total_Inventories","orig","const","AIC",6,FALSE,"trace","r = 0",33.2522414142843,17.85,19.96,24.6,TRUE
"A_common_censusIC","Truckload","Total_Inventories","orig","const","AIC",6,FALSE,"trace","r <= 1",7.64207378745529,7.52,9.24,12.97,FALSE
"A_common_censusIC","Truckload","Total_Inventories","orig","const","AIC",6,FALSE,"eigen","r = 0",25.610167626829,13.75,15.67,20.2,TRUE
"A_common_censusIC","Truckload","Total_Inventories","orig","const","AIC",6,FALSE,"eigen","r <= 1",7.6420737874554,7.52,9.24,12.97,FALSE
"A_common_censusIC","Truckload","Total_Inventories","orig","const","SBC",2,FALSE,"trace","r = 0",55.1982738355656,17.85,19.96,24.6,TRUE
"A_common_censusIC","Truckload","Total_Inventories","orig","const","SBC",2,FALSE,"trace","r <= 1",8.6702243650783,7.52,9.24,12.97,FALSE
"A_common_censusIC","Truckload","Total_Inventories","orig","const","SBC",2,FALSE,"eigen","r = 0",46.5280494704873,13.75,15.67,20.2,TRUE
"A_common_censusIC","Truckload","Total_Inventories","orig","const","SBC",2,FALSE,"eigen","r <= 1",8.67022436507816,7.52,9.24,12.97,FALSE
